group,seq_A,seq_B,len_A,len_B,edit_distance,time_ed,nw_score,time_nw,sw_score,i_index_sw,j_index_sw,time_sw,euclidean_dist,time_euclidean,d2_dist,time_d2,shannon_dist,time_shannon,acs_dist,time_acs,ncd_dist,time_ncd
gh,NP_032143.1 somatotropin precursor [Mus musculus],NP_000506.2 somatotropin isoform 1 precursor [Homo sapiens],216,217,73,0.010015,226,0.010545,226,0,0,0.011615,0.083517,0.000394,0.702201,0.002073,0.706737,0.003033,1.530123,0.004270,0.783784,0.001211
insulina,NP_000198.1 insulin preproprotein [Homo sapiens],NP_032412.3 insulin-1 preproprotein [Mus musculus],110,108,24,0.003551,148,0.002885,148,0,0,0.003028,0.094377,0.000169,0.424920,0.000573,0.447347,0.000770,0.546014,0.001221,0.741935,0.000438
insulina,NP_000198.1 insulin preproprotein [Homo sapiens],KAO0124039.1 insulin [Sus scrofa],110,108,15,0.002714,175,0.002694,175,0,0,0.002996,0.082566,0.000176,0.319672,0.000483,0.323737,0.000672,0.322380,0.001160,0.709677,0.000392
insulina,NP_032412.3 insulin-1 preproprotein [Mus musculus],KAO0124039.1 insulin [Sus scrofa],108,108,24,0.002479,144,0.002633,144,0,0,0.002971,0.095278,0.000168,0.424920,0.000494,0.448021,0.000703,0.549959,0.001123,0.750000,0.000396
